class,text
Being Patriotic,"A terrorist attack was conducted at two U.S. military sites in Chattanooga Mohammad Youssef Abdulazeez was shot and killed by police after he attacked two military sites in Chattanooga, Tennessee and killed four U.S. Marines at the Navy Operational Support Center and Marine Corps Reserve Center. Authorities say a man was a practicing Muslim. At present FBI is conducting an investigation. According to his beliefs, Mohammad was a fundamental Islamist. Having examined after his death his social pages, FBI has found that he kept a blog and had a note where he said that he conducted a terrorist act in obedience to Allah. It is notable that the terrorist attack was conducted in the last day of Ramadan. It is noteworthy that in his letter the terrorist didn't refer to ISIS or AI-Qaeda; he acted in his own volition. We don't want to stir up Islamophobia, but if such manifestations of Islam have place, it is very sorrowful for the United States. The situation in the Middle East and the extensive propaganda of ISIS make ordinary Muslims to become radical Islamists and take the path of war and death. If people on their own commit such attacks, the American society must take it more seriously. The society should develop a new behavioral model towards Islam, according to which, on the one hand Muslims and Christians will live comfortable together. And on the other hand, Muslims won't tend to radical activities and the destruction of peaceful life of Americans."
Being Patriotic,"Good morning, dear patriots! Today is 16th of July. The Apollo 11, the first U.S. lunar landing mission, is launched from Cape Canaveral, Florida, on this day in 1969. It was a great day in history! Americans are first and only who landed on the moon till today. We are the great nation! And we have to go forward with our head high!"
Being Patriotic,"The spread of hatred in the American society        On Saturday there were two protests: a Ku Klux Klan rally in South Carolina and an anti-racism protest. About 2,000 people arrived to South Carolina's statehouse. Some of them present the KKK's rally against the removal of the Confederate flag, while others were from the New Black Panther party and Black Lives matter groups, holding the Republic of New Afrika flag. It is a very clear signal for the federal government that the protest obtains a systematic and ideological basis. The Klan wanted to underline the traditional heritage of the Confederate flag. Black protesters, on the contrary stand against racism. There were also many anti-racism supporters of other races. The main problem is hatred which is spread among our society. The government does nothing to solve the matter. If America is a land of free, we should clear our country of racism. But on the other hand we shouldn't refuse our history and our traditions."
Being Patriotic,"The U.S. flag hasn't been lowered in honor of the murdered Marines        Monday morning, July 20, the US flag continued to fly at the top of the White House and the US capitol building despite the fact that a gunman killed five US Marines in Chattanooga, Tenn. President Obama hasn't ordered to lower a flag, though a federal law states that the flag shall be flown at half-staff upon the deaths of principal figures or the governor can lower the US flag in his or her state following the deaths of officials or members of the US Army. By contrast, Obama ordered the flags to half-staff following on the same day that as the shootings at the Sandy Hook Elementary School. The flag was lowered to half-staff the day following the terrorist attack during the Boston marathon, the shooting at the Washington Navy Yard and the following the death of Nelson Mandela. But it hasn't yet been lowered in honor of the service members murdered in Tennessee. By doing so Obama shows the highest degree of disrespect for the fallen soldiers. It turns out that for him the soldiers as well as veterans do not deserve any attention or respect. Soldiers are needed only when it is necessary to send them to the next unknown operation. They considered as meat. But in reality, they are our heroes! They were victims of a terrorist attack. They were victims of a man who at first won refugee status and then decided to kill in the name of Allah. In general during the Obama presidency the country was divided in many ways: racism became more evident, the number of illegal immigrants, who do not even bother to learn English, because it's enough to speak Spanish, has increased."
LGBT United,"On the national level, the suicide risk for gay, lesbian and transgender youth is far higher than it is among straight youth.        LGBTQ youth actively plan suicide at a 2.6 times greater rate than straight youth. LGBTQ youth attempt suicide at a 4.0 times greater rate than straight youth. LGBTQ youth require medical attention for suicide attempts at a 5.1 times greater rate than straight youth. Behind these numbers are countless lives lost. This has to stop! Discuss problems together — but only at the initiative of the youth. Be caring and supportive discussing these issues. Don't sweep the problems ""under the carpet""! #LGBTQ #youth #suicide #acceptance"
LGBT United,"Remember when African Americans couldn't drink from the same drinking fountains as whites? Remember when gay people couldn't get married? Both scenarios sound so ridiculous. Especially when you think about how much money is to be gained if same-sex couples are legally allowed to get married. A majority of small business owners believe companies shouldn't be allowed to withhold goods or services from lesbian, gay,bisexual or transgender people based on an owner's religious beliefs, according to a survey released Monday. Of course marriage is good for the business - no matter who it is that is marrying. It's a billion dollar industry in our country! I am certain that if a state supported marriage for all, then business would flourish. No one would be offended by not being considered legitimate, when their feelings are legitimate."
LGBT United,"'THAT'S NOT WHAT I AM': TRANSGENDER PERSON FIGHTS TO CHANGE 'F' TO 'M' ON DRIVER'S LICENSE. One of the friends of our group shared his story with us! He has been discriminated against by local authorities in Louisville, Ky.        There's a gap between Kentucky law and federal law. People trying to change the gender on a passport only need to be in transition, not post-surgery. But many transgender people never complete the surgery due to economical reasons, health issues etc. It seems that the law does not care about these people's circumstances. So typical of bureaucrats. It is very important for every transgender to be able to change his\her identification to reflect who they really are. It's not just about person dressed as a man one day and then dressed as a woman the next, or vice versa. It is about much more deep, more complex things. An authentic transgender man or woman only presents as the gender they truly are; And not the gender they were assigned to at birth. Transgender people are not trying to trick anyone by asking for identification changes. They are trying to avoid as much confusion as absolutely possible. Because it is confusing enough to be the gender different from the one you were assigned to at birth. Please share your stories with us, because united we can stand against injustice and inequality! #Kentucky #transgender #inequality #discrimination"
LGBT United,"HOMOPHOBIA STILL RUNNING STRONG IN AMERICA. Controversial artist Ed Freeman sparked fury among conservative patriots after sharing his own version of the 1945 image. The outrage was caused by artist's artwork recreating iconic Iwo Jima photo. with a gay pride flag and half-naked men has received death threats. That's a bit too harsh treatment for an artist, don't you think? What's this; the American version of Je suis Charlie? Joe Rosenthal's picture of soldiers hauling a flag pole up after declaring the island of Iwo Jima secure during the Second World War won the Pulitzer Prize in 1945. Around 70.000 U.S. troops fought more than 20,000 Japanese. It wasn't a fair fight back then, and it's not a fair fight today. But there's nothing disrespectful in this image. Isn't the imitation is the best form of homage? #homophobia #JoeRosenthal #EdFreeman #IwoJlma"
LGBT United,"We have a method in place called, don't vote these morons into office!        Passing the ""First Amendment Defense Act"" introduced by Sen. Mike Lee has been anti-LGBT conservatives' top priority since the Supreme Court brought marriage equality to all 50 states. It's part of the National Organization for Marriage's post-Obergefell plan and Republican presidential candidate pledge, and the Family Research Council mentions it almost daily. Lee joined NPR this week to defend the bill, basically admitting that all it does is enable anti-gay discrimination. Lee framed his concern as one about the government discriminating against religious institutions —for discriminating against people in same-sex marriages. It's the latter he wants to allow by ensuring that the government never penalizes any religious institution that refuses to recognize a same-sex couple's marriage, or employ them, house them, or serve them. Mr. Lee, you are ridiculous! You're just going to have to get over that fact that we have full Federal civil rights now. Or don't! We will go on happily living our lives while you froth at the mouth and throw a fit because we're being treated equally under the law!"
LGBT United,"PLEASE NO HATE! JUST LET US EAT CAKE!        Wedding cake is back in the news with developments in both the Oregon and Colorado bakery cases involving discrimination on the basis of sexual orientation. In Oregon, judgment has been finalized against Sweet Cakes by Melissa, requiring Aaron and Melissa Klein to pay a $135,000 fine for refusing service to a same-sex couple. Meanwhile, in Colorado, Jack Phillips of Masterpiece Cakeshop, is appealing the ruling against him for refusing to serve a same-sex couple. In the wake of the Supreme Court's ruling in Obergefell v. Hodges, conservatives are eager to highlight Phillips and the Kleins as evidence that religious freedom is under attack. In fact, they have actually invented a new claim about how these bakers' ""free speech"" is under attack and how they're thus the real victims. There's a simple solution. Since they won't agree to the conditions for having a license to do business with the public, they shouldn't have a license to do business with the public! This is not a free speech issue, it is an issue of American law! They can speak about their bigotry and ignorance, not to practice it!"
LGBT United,"Why do people hate each other? That's an enormous question, and it's one that eludes an answer. Why there's so rarely we see acceptance, understanding, tolerance towards people who are different from ""normal"" in any way?        I hope that someday all the hatred, all the xenophobia and prejudice between us will ceased to exist. And I'm so grateful for my fabulous loving friends who I have shared so much brilliant times! #glbt #gaypride #friendship #queerquote"
LGBT United,"That's really cool! I think all people must realise that sexuality is not, fundamentally, about who you want to have sex with — but who you are, and who you love...        One of the execs on children's cartoon series Steven Universe has confirmed a lesbian romance between two characters. The popular show is based on a young boy named Steven, who grows up with three magical aliens — the 'Crystal Gems' Garnet, Amethyst and Pearl. The show, which has already won praise for including a number of strong, female characters in a comparatively male-dominated genre, has now hinted at further diversity. That's s000 nice! More and more shows go that route, even if it's probably just for advertising it's still good."
LGBT United,"Oh God! Just remember: you know you're doing something right when all the bigots and racist idiots are angry with you...        For decades, conservative Christians who oppose LGBT equality have singled out the federal government or secular atheists as their preferred enemy in public settings, blasting both groups for supposedly attacking ""traditional marriage"" or infringing on their religious liberty. Yet in the months surrounding the recent U.S. Supreme Court decision to legalize same-sex marriage across the country, right-wing Christians have become increasingly willing to cast blame — seemingly hypocritically — on a group they have often dismissed or outright ignored: Progressive Christians, especially those who support marriage equality. I believe religions should teach love, they must stop teaching hatred! And noticed while progressive Christians are constantly under attack from conservative Christians, they're not the ones screaming ""persecution"". They are just tired of the persecution."
LGBT United,"Oh happy day! More and more of the ""morally superior"" cult members tripping over their sex scandals!        Former Archbishop John Neinstedt is ""dumbfounded"" by allegations that he frequented gay clubs, used "" poppers,"" and made sexual advances on men. Neinstedt has called homosexuality ""evil' in the past, and thinks equal marriage laws are a Satanic ""man-made experiment' that would harm children. Oh, look at this! So much for humility... just another poor white Christian ""victim""! His Assholiness can play dumb for just so long before it all comes out in the open.."
LGBT United,"CAITLYN JENNER: ""TRANS PEOPLE DESERVE YOUR RESPECT' Caitlyn accepted the Arthur Ashe Courage Award at the 2015 ESPY Awards.        Caitlyn is amazing! It was her first public appearance since announcing her decision to transition. And her speech brought me to tears. It was very touching and thought provoking. She spoke about her own personal experience so far as a transgender woman. But she also dedicated a significant percentage of her speech to a thoughtful and touching discussion of the vast number of issues facing the larger transgender community. In her past life Caitlyn was known worldwide as a sports hero. Today she is an American hero of a great courage. Because it takes courage to stand up and do everything she has done and is doing. #CaitlynJenner #transgender #equality #ESPY"
LGBT United,"FEMALE SOCCER PLAYERS GET MARRIED, HAVE PERFECT MESSAGE FOR HATERS! Meet professional soccer players Erin McLeod and Ella Masar, who play for Houston Dash in the National Women's Soccer League. The long-time partners married this week; just days after the end of the Women's World Cup. Along with sincere congratulations, the couple also received plenty of negative messages; from people who didn't think two women should get married. Masar had this perfect message for those people. In spite of all their hatred her message is full of love because love wins despite any obstacles: ""Thank you for praying for me and reinforcing my own prayers because as you pray, ""Lord please help Ella, allow her to see her sin for loving that woman, for respecting her, being faithful, honoring her, etc ..."" Know I am saying the same thing; ""my Heavenly Father, thank you for allowing me find my better half; for finding someone that strengthens my faith and allows me to be the person I always imagined. Thank you for teaching me what truly loving someone and others is all about. amen."" Congratulations, you two! We hope you both have a full and wonderful life together! #Igbt #lovewins #MarriageEquality #lesbians"
LGBT United,"Miley Cyrus Wants to Marry Her Girlfriend Stella Maxwell        The 22-year-old Bangerz singer and 24-year-old Victoria's Secret model Stella Maxwell have reportedly been dating since they met on Instagram in April. While it's only been a few months, they're ready to take the next step. Miley's told friends that Stella is the one. And she wants to make a huge statement with an over-the-top wedding in the fall! She can't stop talking about how in love she is and how she wants the whole world to know... Miley came out as bisexual recently, not all of her relationships have been ""straight, heterosexual"" ones. She also told Paper magazine how she came out to her mom when she was 14, saying, ""I remember telling her I admire women in a different way. And she asked me what that meant. And I said, 'I love them. I love them like I love boys.""' We hope Miley can move on from the wrecking balls and think about wedding bells once she's ready!"
LGBT United,"BACK IN LOVE! CAITLYN JENNER REPORTEDLY DATING FELLOW TRANSGENDER WOMAN CANDIS CAYNE It looks like 65-year-old reality TV star Caitlyn Jenner has found love again. After getting divorced from Kris Jenner earlier this year, Caitlyn has not been linked with any love interest. According to reports, she is now dating Candis Cayne, 44, an actress and a fellow transgender woman. Caitlyn and Candis had amazing chemistry. After her monumental life change, Caitlyn's ready to open up her heart again and really, how could you ask for a more perfect fit as a romantic partner than Candis? She's been basically through the same struggles and confusion, so she'd be the perfect person for Caitlyn to lean on as she continues her journey of transition. Candis is smart, funny, talented and drop-dead sexy!"
LGBT United,"CONGRATS TO ALL THE GAY COUPLES!: After a long fight, you have your much deserved rights! Same-sex married couples can start applying for Social Security and veterans benefits in all 50 states even though there are still issues to fix as the federal government works to implement the Supreme Court ruling allowing gay couples to marry nationwide. It is good to be happy! Maybe one day our rights won't be determined based on what group we belong to. Until then some will be more equal than others. I think as long as government provides special benefits to married people; all citizens should have equal access to those benefits, regardless of whom they love:"
LGBT United,"The Journey Begins: Caitlyn Jenner launches weekly blog on LGBT issues        The most fabulous trans icon Caitlyn Jenner is a blogger now. She posted the first letter in what is to be a series of personal posts for WhoSay Monday, titled, ""The Journey Begins."" The blog will be dedicated to become a voice for the LGBT community. ""Up until now, I have totally isolated myself from the transgender community so I have a lot of catching up to do,"" Jenner says. ""I feel such a responsibility to this courageous group to try to get it right and tell all sides of the story. To me, that's always the biggest question: am I doing it right?"" Finally our community got someone who will represent our position and actually help people struggling with being transgendered, like helping them with surgery, medications and etc. Caitlyn is a real new American hero!"
Being Patriotic,"Controversy surrounding the flag only heats animosity among Americans. And it is becoming dangerous.        So, a family from Moseley, Virginia was threatened at gunpoint for waving the Confederate flag on their own private property on Monday night. While the family was expressing their First Amendment right by waving the flag in their own driveway next to a busy highway. A man driving an SUV pulled into the driveway, took out his gun, chambered a round, pointed it at the family. ""He slammed on the brakes and when he got right beside me, he pulled out a gun, chambered a round and told me my cause wasn't worth anything now,"" Mark Wilson said. When one spits upon the law because he thinks that it's amoral, it is beginning a chaos. Liberals want to ban a confederate flag because slavery was in the 18th and 19th centuries. They don't want to understand that slavery was legal in many countries of the world, but nobody wants to ban a flag of England or France. Activists and groups like the NAACP are also calling for statues and monuments to Confederate leaders to be demolished, including the carving at Stone Mountain, the largest bas relief sculpture in the world. Some are even demanding that Washington, DC be renamed in the name of political correctness because George Washington owned slaves. Liberals actually want to destroy American history and culture. Americans should be guided by the law, because sometimes moral is not clear. If somebody thinks that the Democratic party is amoral, nobody demands to eliminate the party. Continue to stay for the First amendment! Let's stop the chaos!"
Being Patriotic,"The first lesson of economics is scarcity: there is never enough of anything to fully satisfy all those who want it. The first lesson of Obama's policies is to disregard the first lesson of economics...        USA TO ISSUE MORE GREEN CARDS THAN POPULATIONS OF IOWA, NEW HAMPSHIRE, SOUTH CAROLINA COMBINED. The lion's share of these visas are for lesser-skilled and lower-paid workers and their dependents who, because they are here on work-authorized visas, are added directly to the same labor pool occupied by current unemployed jobseekers. Expressly because they arrive on legal immigrant visas, most will be able to draw a wide range of taxpayer-funded benefits, and corporations will be allowed to directly substitute these workers for Americans. Improved border security would have no effect on the continued arrival of these foreign workers, refugees, and permanent immigrants—because they are all invited here by the federal government. Obama swore an oath to uphold our Constitution and protect the American people but he has done everything in his power to destroy us. In a short few years, America will resemble Mehico City ...where you will need to defend your life almost on a daily basis. Obama is killing our country. In turn I hope he drops dead soon."
Being Patriotic,"This brave hero finally gets home to her daughter.       This picture takes my breath away, recognizing the contribution that the military child makes as their parent or parents serve our nation..."
Being Patriotic,We pay tax money that are wasted on wars in the East instead of protect our own borders and support economy.
Being Patriotic,"Jindal on Immigration: 'We Got to Stop the Hyphenated Americans'        ""America's immigration problem will only be solved with a secure border,"" Louisiana Gov. Bobby Jindal tells Newsmax TV. In an exclusive interview with ""Newsmax Prime"" host J.D. Hayworth, the GOP presidential hopeful said part of the problem also lies with President Barack Obama ""out there saying 'don't worry we're not going to enforce.""' Good words Mr. Jindal, too bad democrats don't understand such an obvious things and continue to let illegals into the US. They want to keep the border open so violent illegal aliens can victimize our citizens Jindal said that in a trip to the border, he witnessed illegal aliens easily gaining entry. ""I saw three groups come right across in broad daylight,"" he said. ""One group walked across a man-made dam, got to a fence... they swing the gate wide open. It's not even locked."" America floods the country with people who have no job skills and offer them a living on welfare. Voila, we have a work ethic breakdown. I think, it's time for government to do their job and protect our country. America for Americans!"
LGBT United,"Happiness is like a kiss. You must share it to enjoy it. Share your kisses, be happy and have a gay day!"
LGBT United,That's s00000 cool!!
LGBT United,"We are not here to entertain straight people. They can stare all they want. But please stop asking these stupid questions about ""lesbian relationships""!!        We don't think of ourselves as a ""lesbian couple"", so pleas stop saying that. We think of ourselves as a ""couple"", and like any other, we are a couple who is madly in love and who doesn't want to hide that love in order to make other people feel more comfortable. Oh you'd like to join because you've seen a lot of adult videos with ""lesbians""? You think our deeply emotional, fully satisfying-on-all-levels relationship is just an act, a make-out for you to watch? For you to join us in our bedroom? No, no and NO. #lesbian #loveislove #straight #stereotypes"
LGBT United,"Discrimination runs rampant in too many people in this country - and it comes  in too many forms. Ok! I just noticed one interesting thing ... The kids that need  foster care come from heterosexual families. So I think the straights should be  banned from being foster parents!  A Kansas Department of Children and Families official said that the state will  continue to allow qualified single adults to serve as foster parents for abused  and neglected children, but she said her agency isn't ready to say whether it  will allow married same-sex couples to do so.  Oh God ... Just because your gay doesn't make you any less of a human or  any less deserving of any right afforded to anyone else! Anyone who believes  that a gay person is below a straight person needs treatment!  It is time for this freaking discrimination to end! They have no valid reasons for  denying married gays from adopting and fostering kids. All they are doing is  denying kids loving homes because of their own bigotry."
LGBT United,"Most parents aren't prepared for the words, ""Mom, Dad. I'm gay."" For many  parents first reaction probably will be ""How will I ever handle this?"" The  answer is simple and difficult at the same time: love and acceptance will help  to understand your child's sexuality and its meaning to you and your  continued relationship with your son or daughter.  Some parents feel they would have been happier not knowing about their  child's sexuality. They look back to before they knew and recall this time as  problem-free - overlooking the distance they often felt from their child during  that time.  Sometimes parents try to deny what is happening - by rejecting what they're  hearing (""It's just a phase; you'll get over it""); by shutting down (""If you  choose that lifestyle, I don't want to hear about it""); or by not registering the  impact of what we're being told (""That's nice, dear, and what do you want  for dinner?"").  Such denial often prove as a traumatizing experience for LGBT children. If  you as a parent 'II pretend to forgot the truth about your child's sexuality, you  would never really know your child. A large part of his or her life would be kept  secret from you, and you would never really know the whole person.  It is important to accept and understand your child's sexuality because  homosexuality and bisexuality are not a phase. While people may experiment  for some time with their sexuality, someone who has reached the point of  telling a parent that he or she is gay is not usually going through ""a phase"".  On the contrary, he or she has given long and hard thought to understanding  and acknowledging his or her sexual orientation. So if you're wondering, ""Is  she/he sure?"" the answer will almost always be ""yes""!  DON'T BE YOUR CHILD'S FIRST CLOSET!  #children #lgbt #momdadimgay #gayisok #comingout #acceptance"
Black Matters,"Black, white, Asian. Hispanic, it doesn't matter. Racism is racism, it's wrong regardless."
Black Matters,I see racism as a pervasive element of both right and left wing politics in the US. Trust no one.
Black Matters,We do not need to drink the water from the fountain of youth. Because black don't crack!
Black Matters,"Special prosecutor opened an investigation into death of black women Raynette Turner        New York Attorney General Eric Schneiderman will launch an investigation into to the death of one of the five black women who died in an American jail over a two-week span. Raynette Tumer who was the mother of eight children died in jail cell in police custody last week. She was arrested for shoplifting some crab legs from a grocery store. Due to her bad health history she was taken to the hospital and released. But she died in jail waiting for someone to help. According to American legislation, the courthouse officials are supposed to check the cell every fifteen minutes but, no one checked Tumer's cell for more than two hours. A total of five African-American women have been found dead in police custody in just the last month. Most of them were hold for minor charges and still their deaths are under investigation. Sandra Bland from Texas, Kindra Chapman from Alabama, Joyce Curnell from South Carolina, Ralkina Jones from Ohio, and Raynetta Turner from New York were found dead in their cell after being arrested by police officers. Once again it raises questions about how black people are treated in police custody. What if death in police custody is about excessive police force? Do you realize that dozens of black people were found dead in the U.S?"
Black Matters,"Black people come together! Only together we are stronger! Stand up for your rights': Stand up against discrimination! Stand up for equality! It all depends on us, not the Congress, neither the White House. Because it's not the government who want to end discrimination."
Black Matters,The Civil Rights Activist Mary McLeod Bethune Mary McLeod Bethune was the civil rights activist and an educator who found the National Council of Negro Women in 1935. Being one of the 17 children of former slaves she was the first and the only child to go to African-American school. She found the Daytona Normal and Industrial Institute for Negro Girls because she believed that education was the key to racial advancement. In addition; Bethune did a lot of work to contribute to American society. For instance; she was the president of the Florida chapter of the National Association of Colored Women. Moreover. in 1935 Mary Bethune became an advisory to President Roosevelt on minority affairs and later on she started her civil rights organization. the National Council of Negro Women. The great educator and civil right activist Mary McLeod Bethune demonstrated the values of education. the philosophy of love and the wise use of power. Sadly. at least 10 years of data reveals that Congress don't pay attention to American civil rights as Mary McLeod Bethune did 80 years ago.
Black Matters,"The drama in Pocomoke. A Maryland town several weeks ago fired its first black Police Chief, now exposing a racial rift        The leaders of small Maryland's city in Eastern Shore fired the Pocomoke City's first black police Chief Kelvin Sewell due to his incompetence and refusal to fire black police officers Franklin Savage and Lynell Green. Chief Sewell was hired by Pocomoke City back in 2010 after his retirement from the Baltimore Police Department. Earlier, before Sewell's dismissal he filed a complaint on unequal employment opportunities claiming he was paid less than his white predecessors. This is circumstantial evidence that America is divided into different parts based on race and income. Racism has gotten so bad, black people are treated unfairly. If God created us equally, why the unequal treatment of minorities still exists in our country? What if the firing gas stirred a new spirit of African-American activism?"
Black Matters,"Who said that protesting is not effective? Yes, it is!        How many black people were killed and shot by police department for the past few years? How many protests have been held since 2013? How useful were protests? According to analysis by AP, 24 states have put 40 new laws to tackle police violence such as use of police officer body cameras, racial-bias training and surplus of military equipment. However, there is more work to be done to solve racial tensions in America. The public stand against discrimination happens when there is lack of inside connections with the government. People attempt to stop racism the government usually assumes to be problematic but protesters force the government to find compromise. It's a well known fact, when governments do not deliver, people protest."
Black Matters,"Three Bronx officers were caught on camera by the passenger in a car as the driver appears to be repeatedly punched in the head and thrown to the ground. ""Y'all is punching me in the face. What did I do to deserve this? the 24-year-old Timothy Nelson can be heard saying in the recording of the July 26 traffic stop. Do they really need 20 cops showing up for a traffic stop? And that's why I'd rather call a crack head for help before I call the cops they don't protect and serve, they shoot and kill anybody that's not wearing a police badge. And I do not wear it."
Black Matters,So basically cops are detaining folks for no real reason in order to find a reason to further detain & arrest them. That's a problem.
Black Matters,"Man rammed St. Louis police car'for the black people'. Black people are fed up with an age of racist society? The 48-year-old Kevin Labriado from Bellefontaine Neighbors was charged for ramming police car from behind twice screaming ""for black people"". He assaulted two officers and his child who was sitting in his car. Two St. Louis officers were on patrol until Labriado and his five-year-old daughter accidentally rammed their car. When police officer tried to arrest him, Labriado yelled several times ""This is for the black people"". What if Labriado sought to revenge for all black lives that officers took away? Racism obviously gave rise to the tensions in society that led to disrespect and hate. Moreover, black people are fed up with racism and police violence towards black community. What is more, racial tensions have gotten worse under the current government. Even after several months of protests over the deaths of Eric Garner, Tamir Rice, Michael Brown, Sandra Bland and Freddie Gray the government inspired more unrest. Today black community is in desperate situation seeking for help."
Black Matters,We can start by having community days for the kids_ it's a must to invest in the youth. We underestimate what we're capable of doing on our own. We don't have to wait on others to value our lives.
Black Matters,"Alabama Police Officer Kept His Job After Proposal to Murder Black Man and Hide Evidence A police officer in Alabama proposed murdering a black resident and creating bogus evidence to suggest the killing was in self-defense. Officer Troy Middlebrooks kept his job and continues to patrol Alexander City after authorities there paid the man $35,000 to avoid being publicly sued over the incident. Middlebrooks, a veteran of the US marines, said the man ""needs a god damn bullet"" and allegedly referred to him as ""that nigger"", after becoming frustrated that the man was not punished more harshly over a prior run-in. The payment was made to the black resident, Vincent Bias, after a secret recording of Middlebrooks's remarks was played to the city's police chiefs and the mayor. Elected city councillors said they were not consulted. Do you know that you can go to prison for murderous intent? However, if you are a white police officer, offering to KILL a BLACK AMERICAN and then hide the evidence, then you don't even get fired. Oh yeah, it's happening in a wonderful state called Alabama! You know how it works here. Do you have any more questions for American law enforcement system?"
Black Matters,"Young, Unarmed Black Man Killed By Cop Didn't Want To'Die Too Young'        An unarmed black teenager in Texas was shot dead by a cop who had only recently graduated from the police academy. Just over a week before his death, he posted that he doesn't want to die too young on Twitter. Officers responded to a burglary call around 1 a.m. on Friday, hearing reports that a suspect was damaging vehicles. First spotting Taylor moving about the lot, officers also noticed Taylor's SUV had been smashed into the front of the dealership showroom. Finding that Taylor had moved inside the showroom, Arlington Police Chief Police Will Johnson said Taylor would not comply when told to lie down on the ground, but fled to a back room. 49-year-old officer Brad Miller entered the showroom to arrest Taylor, and then an altercation broke out. Miller fired four shots, including the fatal bullets from the gun of Miller. A second officer fired a taser, Johnson said. And now there are three main points that you should think of: 1) Taylor was described as a good kid. He was a football player at Angelo State University. Never was involved in criminal activities. 2) The officer graduated from the police academy less than 6 months ago and was working under the supervision of a training officer. 3) Taylor didn't want to die young. Black teens don't really live, they survive. And, unfortunately, there is no one to save them from death. There is no one to stop police brutality. We all want our kids to feel safe, we want them to be safe and sound. Are our hopes doomed to disappointment?"
Black Matters,"Michael, we didn't forget you. We haven't forgotten anyone. No justice - no peace.        #BlackLivesMatter #Ferguson"
Black Matters,"BREAKING NEWS! #Oakland #JoeBart Oakland police officers fatally shot a man suspected in alleged carjacking attempt in Downtown Oakland Wednesday night. Is it a race war? Yesterday night. a group of 50 protesters burned Confederate flag and tried to shutdown a freeway in Downtown Oakland. The opposition to police violence was in response to the police shooting earlier in the day. According to Oakland Police Department, yesterday at 2:39 p.m. in the area of 69th Avenue and International Boulevard. Oakland police officers spotted a vehicle they believe to be connected to a previous robbery on July 27. The pursuit started when the driver fled through Oakland streets until the suspect crashed into another car in the area of 27th Avenue and Martin Luther King Jr. street. But when the suspect ran of the car, three officers opened fire. The suspect Joe Bart has died at the hospital. Did you know that it was fifth shooting this year that involved police officers? How quickly it has become so usual? Why it has become so legit? Where is the government speaking about the existence of racism in America? Black Lives Matter!"
Black Matters,"Black people still face discrimination        New data shows that white privilege still dominates in the United States of America. It is painfully obvious that unequal treatment is harmful on a daily basis. For instance, poor service plays an important role contributing to alteration in health that is potential harmful realities for many black people."
Black Matters,"Why black parents worry about their children? How should we talk to our children about how safely interact with police officers in order to protect themselves?        Tina Carter-Shileds has five kids and three of them recently started to drive. The first thought she had when they wanted to drive alone was 'Wait a minute. I'm really scared right now.' What should they do if they get pulled over? What if they do something they don't supposed to be doing? It is not always fair when officers arrest African Americans, but it's a reality. What if police officers will automatically assume that your child is criminal because of how him or her looks. Black parents should remember that their kids will always be judged by the way they look. That's why it's important to instruct our children how to react when you are in trouble with law enforcement. Because if a stranger follows your child after him/her buy a bag of Skittles, ran back into the store. Remember, anything is better than dying. Anyways, it's hard to believe that in 21 st century black parents have to teach their children both survive and thrive. But who will take responsibility for training police officers?"
Black Matters,"What is like to live in America if you are black? Well, first of all you have to work much harder to prove that you are worth others. Second of all, everybody is judging and stereotyping you by the color of your skin. Third of all, you are always being an ̀ other"" even in the country you were born. Forth of all you are always expected to be load and to dance well. In addition, there are lots of people who like to ̀ throw race cards"". Can we live like that? How long should we wait for the government contributions?"
Black Matters,"Men March begins with 35-mile walk to D.C. to denounce epidemic of the culture of gun violence and racism 35-mile trek to Washington has started this Sunday evening in order to bring more attention to widespread violence in different cities across America. The founder of the group Munir Bahar said that the march will last 20 hours in a memory of more than 200 people who have been killed in Baltimore this year. The 300 Men March will highlight the racism and violence across the country. What's wrong with our society? Police kill unarmed citizens, we kill each other. What example we will be setting for the future generations? How are we going to break the cycle of violence? Are there any chances to overcome deeply rooted racism and violence in America? What if peace comes after the fairness?"
Black Matters,"Straight Outta Compton is straight reality        The new movie Straight Outta Compton focus on legendary hip-hop pioneers N.W.A. and their struggles against racism and police violence. The movie is coming this weekend in the theaters. However, some of the cinemas refused to show the movie, citing ""safety and liability"" concerns. Does it remind you of anything? How about Ferguson? How about Baltimore? Today you are willing to be detained in the name of defending your rights. Today cops can easily shoot you for a small violation. Even having black cops and black mayors doesn't end police brutality. Fortunately today you are allowed to record police officers in order to further prevent potentially serious cases of police wrongdoing fairly."
Black Matters,"Police Officers Take Down A One-legged Homeless Black Man Armed With Crutches in San Francisco Writer Chaedria LaBouvier reported that she had seen 14 San Francisco police officers subduing a homeless black man who had one leg outside Twitter headquarters. Witnesses told LaBouvier that police had been called because the man was waving sticks,"" which later turned out to be his crutches. None of the employees at Twitter or other tech companies came out to object as the 14 officers took down the one-legged homeless man. The U.S. Justice Department recently filed court documents in an Idaho case which declared it unconstitutional to criminalize homelessness. According to the Coalition on Homelessness, the city handed out 11,000 citations to homeless people who were sitting on sidewalks between 7 a.m. and 11 p.m. in 2014. What kind of people police usually hire? Mentally unstable bloodthirsty cowards or? We already know the answer. Sometimes we all wonder do police officers have mercy for anyone? Hard to say, because what we see confuses us."
Black Matters,Hand-colored portrait of an unidentified black woman shucking corn. By George Barnard.
